Date,n,POP,taux_couverture,n_cumule,taux_couverture_cumule
2012-03-01,0,3662104,0,1766,4.805426745230775e-4
2012-04-01,0,3662104,0,1766,4.805426745230775e-4
2012-05-01,12,3662104,3.2768048094756455e-6,1778,4.8381947933255317e-4
2012-06-01,16,3662104,4.369073079300861e-6,1794,4.88188552411854e-4
2012-07-01,0,3662104,0,1794,4.88188552411854e-4
2012-08-01,20,3662104,5.461341349126076e-6,1814,4.936498937609801e-4
2012-09-01,21,3662104,5.73440841658238e-6,1835,4.993843021775626e-4
2012-10-01,16,3662104,4.369073079300861e-6,1851,5.037533752568635e-4
2012-11-01,14,3662104,3.822938944388253e-6,1865,5.075763142012517e-4
2012-12-01,13,3662104,3.5498718769319494e-6,1878,5.111261860781837e-4
2013-01-01,0,3680235,0,1878,5.111261860781837e-4
2013-02-01,14,3680235,3.8041049009098605e-6,1892,5.149302909790935e-4
2013-03-01,12,3680235,3.260661343637023e-6,1904,5.181909523227305e-4
2013-04-01,0,3680235,0,1904,5.181909523227305e-4
2013-05-01,17,3680235,4.6192702368191164e-6,1921,5.228102225595496e-4
2013-06-01,41,3680235,1.1140592924093163e-5,1962,5.339508154836428e-4
2013-07-01,35,3680235,9.51026225227465e-6,1997,5.434610777359175e-4
2013-08-01,50,3680235,1.3586088931820929e-5,2047,5.570471666677384e-4
2013-09-01,71,3680235,1.929224628318572e-5,2118,5.763394129509241e-4
2013-10-01,70,3680235,1.90205245045493e-5,2188,5.953599374554734e-4
2013-11-01,43,3680235,1.1684036481366e-5,2231,6.070439739368394e-4
2013-12-01,29,3680235,7.87993158045614e-6,2260,6.149239055172956e-4
2014-01-01,19,3739554,5.080819798296803e-6,2279,6.200047253155924e-4
2014-02-01,39,3739554,1.0429051164925015e-5,2318,6.304337764805174e-4
2014-03-01,0,3739554,0,2318,6.304337764805174e-4
2014-04-01,24,3739554,6.4178776399538555e-6,2342,6.368516541204712e-4
2014-05-01,16,3739554,4.27858509330257e-6,2358,6.411302392137739e-4
2014-06-01,13,3739554,3.4763503883083385e-6,2371,6.446065896020822e-4
2014-07-01,31,3739554,8.28975861827373e-6,2402,6.528963482203559e-4
2014-08-01,12,3739554,3.2089388199769278e-6,2414,6.561052870403328e-4
2014-09-01,43,3739554,1.1498697438250658e-5,2457,6.676039844785835e-4
2014-10-01,56,3739554,1.4975047826558995e-5,2513,6.825790323051425e-4
2014-11-01,27,3739554,7.220112344948088e-6,2540,6.897991446500906e-4
2014-12-01,15,3739554,4.01117352497116e-6,2555,6.938103181750617e-4
2015-01-01,35,3771090,9.281136223213978e-6,2590,7.030914543982757e-4
2015-02-01,16,3771090,4.242805130612104e-6,2606,7.073342595288879e-4
2015-03-01,17,3771090,4.5079804512753605e-6,2623,7.118422399801632e-4
2015-04-01,26,3771090,6.89455833724467e-6,2649,7.187367983174078e-4
2015-05-01,14,3771090,3.712454489285591e-6,2663,7.224492528066934e-4
2015-06-01,22,3771090,5.833857054591644e-6,2685,7.282831098612851e-4
2015-07-01,34,3771090,9.015960902550721e-6,2719,7.372990707638358e-4
2015-08-01,16,3771090,4.242805130612104e-6,2735,7.41541875894448e-4
2015-09-01,32,3771090,8.485610261224208e-6,2767,7.500274861556721e-4
2015-10-01,52,3771090,1.378911667448934e-5,2819,7.638166028301615e-4
2015-11-01,17,3771090,4.5079804512753605e-6,2836,7.683245832814368e-4
2015-12-01,15,3771090,3.977629809948848e-6,2851,7.723022130913857e-4
2016-01-01,18,3786969,4.7531416285689165e-6,2869,7.770553547199546e-4
2016-02-01,16,3786969,4.225014780950147e-6,2885,7.812803695009048e-4
2016-03-01,0,3786969,0,2885,7.812803695009048e-4
2016-04-01,12,3786969,3.1687610857126107e-6,2897,7.844491305866174e-4
2016-05-01,30,3786969,7.921902714281527e-6,2927,7.923710333008989e-4
2016-06-01,24,3786969,6.3375221714252215e-6,2951,7.987085554723241e-4
2016-07-01,21,3786969,5.545331899997069e-6,2972,8.042538873723212e-4
2016-08-01,21,3786969,5.545331899997069e-6,2993,8.097992192723183e-4
2016-09-01,47,3786969,1.2410980919041058e-5,3040,8.222102001913593e-4
2016-10-01,32,3786969,8.450029561900295e-6,3072,8.306602297532596e-4
2016-11-01,39,3786969,1.0298473528565985e-5,3111,8.409587032818256e-4
2016-12-01,14,3786969,3.696887933331379e-6,3125,8.44655591215157e-4
2017-01-01,0,3799106,0,3125,8.44655591215157e-4
2017-02-01,29,3799106,7.633374799229082e-6,3154,8.52288966014386e-4
2017-03-01,39,3799106,1.02655730058598e-5,3193,8.625545390202457e-4
2017-04-01,27,3799106,7.106935157902938e-6,3220,8.696614741781487e-4
2017-05-01,27,3799106,7.106935157902938e-6,3247,8.767684093360516e-4
2017-06-01,59,3799106,1.5529969419121234e-5,3306,8.922983787551729e-4
2017-07-01,28,3799106,7.37015497856601e-6,3334,8.996685337337389e-4
2017-08-01,45,3799106,1.184489192983823e-5,3379,9.115134256635772e-4
2017-09-01,64,3799106,1.6846068522436593e-5,3443,9.283594941860137e-4
2017-10-01,47,3799106,1.2371331571164373e-5,3490,9.407308257571781e-4
2017-11-01,48,3799106,1.2634551391827445e-5,3538,9.533653771490056e-4
2017-12-01,45,3799106,1.184489192983823e-5,3583,9.652102690788438e-4
2018-01-01,71,3835816,1.8509751249799262e-5,3654,9.83720020328643e-4
2018-02-01,70,3835816,1.82490505279711e-5,3724,0.001001969070856614
2018-03-01,79,3835816,2.059535702442453e-5,3803,0.0010225644278810387
2018-04-01,76,3835816,1.9813254858940055e-5,3879,0.0010423776827399786
2018-05-01,64,3835816,1.668484619700215e-5,3943,0.0010590625289369807
2018-06-01,105,3835816,2.7373575791956652e-5,4048,0.0010864361047289374
2018-07-01,88,3835816,2.2941663520877957e-5,4136,0.0011093777682498155
2018-08-01,99,3835816,2.58093714609877e-5,4235,0.0011351871397108032
2018-09-01,194,3835816,5.057594003466277e-5,4429,0.001185763079745466
2018-10-01,193,3835816,5.0315239312834606e-5,4622,0.0012360783190583004
2018-11-01,181,3835816,4.7186830650896704e-5,4803,0.001283265149709197
2018-12-01,141,3835816,3.675880177777036e-5,4944,0.0013200239514869674
2019-01-01,201,3868423,5.19591575171588e-5,5145,0.0013719831090041263
2019-02-01,226,3868423,5.8421739297899946e-5,5371,0.0014304048483020262
2019-03-01,268,3868423,6.927887668954507e-5,5639,0.0014996837249915713
2019-04-01,340,3868423,8.789111221807956e-5,5979,0.0015875748372096508
2019-05-01,367,3868423,9.487070054128e-5,6346,0.0016824455377509309
2019-06-01,403,3868423,1.0417681830554725e-4,6749,0.0017866223560564782
2019-07-01,339,3868423,8.763260894684991e-5,7088,0.0018742549650033282
2019-08-01,373,3868423,9.642172016865788e-5,7461,0.001970676685171986
2019-09-01,585,3868423,1.5122441366934277e-4,8046,0.002121901098841329
2019-10-01,673,3868423,1.739727015375516e-4,8719,0.0022958738003788807
2019-11-01,674,3868423,1.7423120480878124e-4,9393,0.002470105005187662
2019-12-01,996,3868423,2.574692581447272e-4,10389,0.0027275742633323893
2020-01-01,2136,3883301,5.500474982495562e-4,12525,0.0032776217615819456
2020-02-01,2443,3883301,6.291039504792444e-4,14968,0.00390672571206119
2020-03-01,1125,3883301,2.8970198292638147e-4,16093,0.004196427694987572
2020-04-01,666,3883301,1.7150357389241781e-4,16759,0.00436793126887999
2020-05-01,1487,3883301,3.829216432102482e-4,18246,0.004750852912090238
2020-06-01,3260,3883301,8.394919683022253e-4,21506,0.0055903448803924635
2020-07-01,3176,3883301,8.178608869103889e-4,24682,0.0064082057673028525
2020-08-01,3900,3883301,0.0010043002074781224,28582,0.0074125059747809745
2020-09-01,5660,3883301,0.0014575228652118392,34242,0.008870028839992813
2020-10-01,5808,3883301,0.0014956347705212653,40050,0.01036566361051408
2020-11-01,3710,3883301,9.55372761472778e-4,43760,0.011321036371986858
2020-12-01,4366,3883301,0.0011243012066280724,48126,0.01244533757861493
2021-01-01,9924,3888616,0.002552064796318279,58050,0.014997402374933208
2021-02-01,15144,3888616,0.0038944447073200337,73194,0.018891847082253242
2021-03-01,18325,3888616,0.004712473538143133,91519,0.023604320620396375
2021-04-01,18969,3888616,0.004878085159347182,110488,0.028482405779743557
2021-05-01,15814,3888616,0.004066742511988841,126302,0.032549148291732395
2021-06-01,20356,3888616,0.0052347673311018625,146658,0.03778391562283426
2021-07-01,12778,3888616,0.0032860020120269013,159436,0.04106991763486116
2021-08-01,14876,3888616,0.0038255255854525104,174312,0.04489544322031367
2021-09-01,25783,3888616,0.006630379548919204,200095,0.05152582276923287
2021-10-01,27286,3888616,0.007016892385362813,227381,0.058542715154595686
2021-11-01,23817,3888616,0.006124801214622375,251198,0.06466751636921805
2021-12-01,18533,3888616,0.0047659630058612115,269731,0.06943347937507927
2022-01-01,15025,3910389,0.0038423287299549995,284756,0.07327580810503427
2022-02-01,15149,3910389,0.0038740391301223484,299905,0.07714984723515662
2022-03-01,19598,3910389,0.0050117776006428005,319503,0.08216162483579942
2022-04-01,18022,3910389,0.004608748643677138,337525,0.08677037347947655
2022-05-01,20184,3910389,0.005161634814336885,357709,0.09193200829381344
2022-06-01,23111,3910389,0.0059101536957064885,380820,0.09784216198951994
2022-07-01,17715,3910389,0.0045302398303595885,398535,0.10237240181987953
2022-08-01,25424,3910389,0.006501654950440992,423959,0.10887405677032053
2022-09-01,43884,3910389,0.011222412910838283,467843,0.12009646968115881
2022-10-01,40286,3910389,0.010302299847917943,508129,0.13039876952907675
2022-11-01,30025,3910389,0.0076782642340698076,538154,0.13807703376314656
2022-12-01,24368,3910389,0.006231605090951309,562522,0.14430863885409786
2023-01-01,23216,3921497,0.005920188132236236,585738,0.1502288269863341
2023-02-01,24861,3921497,0.006339670794087054,610599,0.15656849778042117
2023-03-01,34587,3921497,0.008819846094488916,645186,0.16538834387491008
2023-04-01,28050,3921497,0.007152880647365024,673236,0.1725412245222751
2023-05-01,25166,3921497,0.006417447214673376,698402,0.1789586717369485
2023-06-01,32744,3921497,0.008349872510421403,731146,0.1873085442473699
2023-07-01,25908,3921497,0.00660666067065715,757054,0.19391520491802705
2023-08-01,31660,3921497,0.008073447461517884,788714,0.20198865237954494
2023-09-01,46928,3921497,0.011966858574671866,835642,0.2139555109542168
2023-10-01,52179,3921497,0.013305888032044905,887821,0.22726139898626171
2023-11-01,32392,3921497,0.008260110870925057,920213,0.23552150985718678
2023-12-01,23868,3921497,0.0060864511690306025,944081,0.2416079610262174
2024-01-01,25159,3939436,0.006386447197009927,969240,0.24799440822322733
2024-02-01,23886,3939436,0.0060633044933335635,993126,0.2540577127165609
2024-03-01,23772,3939436,0.006034366340765531,1016898,0.26009207905732645
2024-04-01,25760,3939436,0.006539007106601046,1042658,0.2666310861639275
2024-05-01,22370,3939436,0.005678477832867446,1065028,0.27230956399679496
2024-06-01,29536,3939436,0.007497519949556231,1094564,0.2798070839463512
2024-07-01,27578,3939436,0.007000494487028093,1122142,0.2868075784333793
2024-08-01,27677,3939436,0.0070256249879424365,1149819,0.29383320342132174
2024-09-01,32987,3939436,0.008373533673348164,1182806,0.3022067370946699
2024-10-01,38474,3939436,0.009766372648267418,1221280,0.3119731097429373
2024-11-01,24072,3939436,0.006110519373839301,1245352,0.31808362911677657
2024-12-01,21166,3939436,0.005372850326798049,1266518,0.32345647944357464
2025-01-01,22231,3946866,0.005632570246874355,1288749,0.329089049690449
2025-02-01,22169,3946866,0.005616861580808672,1310918,0.33470591127125765
2025-03-01,22273,3946866,0.005643211601305947,1333191,0.3403491228725636
2025-04-01,23319,3946866,0.005908231999768931,1356510,0.3462573548723325
2025-05-01,23072,3946866,0.005845650701087901,1379582,0.3521030055734204
2025-06-01,25096,3946866,0.006358462638457956,1404678,0.35846146821187835
2025-07-01,24605,3946866,0.006234060137841011,1429283,0.36469552834971936
2025-08-01,24391,3946866,0.006179839903356232,1453674,0.3708753682530756
2025-09-01,26729,3946866,0.0067722086333815235,1480403,0.3776475768864571
2025-10-01,34159,3946866,0.008654714905446498,1514562,0.3863022917919036
2025-11-01,23068,3946866,0.005844637238761083,1537630,0.3921469290306647
2025-12-01,21059,3946866,0.005335625785116596,1558689,0.3974825548157813
2026-01-01,19381,3955193,0.004900140144867772,1578070,0.4023826949606491
2026-02-01,21669,3955193,0.005478620133075681,1599739,0.4078613150937248
2026-03-01,21265,3955193,0.005376475939353655,1621004,0.41323779103307845
2026-04-01,19155,3955193,0.004843000076102481,1640159,0.41808079110918095
