Date,random_sur_range
2020 Aug,0.027985768282884477
2020 Sep,-0.01821202525533462
2020 Oct,-0.0834454767919776
2020 Nov,-0.08338608542313691
2020 Dec,0.0242484577558368
2021 Jan,0.042194791135524316
2021 Feb,0.025006059851048357
2021 Mar,0.037171150473585796
2021 Apr,-0.0075983530725135225
2021 May,0.026754483806919152
2021 Jun,0.056453065367202966
2021 Jul,0.254246603586273
2021 Aug,0.047489314382175206
2021 Sep,-0.07716592596455453
2021 Oct,-0.12333909381325422
2021 Nov,-0.0660988513805838
2021 Dec,-0.017861471322177334
2022 Jan,0.024021032270276143
2022 Feb,-0.02596911745391623
2022 Mar,-0.026658636760456836
2022 Apr,0.011461930615429715
2022 May,0.01655944834592622
2022 Jun,0.018775760402663832
2022 Jul,-0.060469708470464636
2022 Aug,0.0359644916871398
2022 Sep,0.014146130773034223
2022 Oct,-0.056406469699779076
2022 Nov,-0.10510594357916533
2022 Dec,-0.07238274791792208
2023 Jan,-0.04823074077936922
2023 Feb,0.14424364850353066
2023 Mar,0.22866051217571345
2023 Apr,-0.08073665094485387
2023 May,-0.08760721832074035
2023 Jun,-0.05657884952641413
2023 Jul,-0.1810370843569894
2023 Aug,-0.09745749412846309
2023 Sep,0.36432343573757314
2023 Oct,0.4515722537044762
2023 Nov,0.04914937556977076
2023 Dec,-0.10695721600302854
2024 Jan,-0.12535840035383738
2024 Feb,-0.11639464936880978
2024 Mar,-0.10600260839166238
2024 Apr,0.0012668951544370088
2024 May,-0.022890906264002885
2024 Jun,0.05468001572181269
2024 Jul,-0.02101935386053561
2024 Aug,0.0027198108360758904
2024 Sep,0.05935889673048111
2024 Oct,0.02692686363355436
2024 Nov,-0.04881161733803053
2024 Dec,-0.08257778337891494
2025 Jan,-0.027397407446035863
2025 Feb,-0.03128826639008637
2025 Mar,0.03717115047358572
2025 Apr,0.031408739126068015
2025 May,0.04492824267216733
2025 Jun,0.017002710757273786
2025 Jul,-0.025008715562663195
2025 Aug,-0.026535508312860206
2025 Sep,-0.047910606815618206
2025 Oct,0.03401906221511454
2025 Nov,NA
2025 Dec,NA
2026 Jan,NA
2026 Feb,NA
2026 Mar,NA
2026 Apr,NA
