Date,random_sur_range
2020 Sep,-0.01152505530372638
2020 Oct,-0.049549341423298865
2020 Nov,-0.09553309932775986
2020 Dec,-0.05385470374852386
2021 Jan,-0.033367513498428564
2021 Feb,0.044245747269169425
2021 Mar,0.08851806507561741
2021 Apr,0.10471579920120375
2021 May,0.012022294122474195
2021 Jun,0.0604156233635413
2021 Jul,-0.07821445706429306
2021 Aug,-0.07943672501525804
2021 Sep,-0.020344137390976832
2021 Oct,0.04239022241574971
2021 Nov,0.08639956565617019
2021 Dec,0.05328629570942324
2022 Jan,-0.06030681269885493
2022 Feb,-0.06271160211038986
2022 Mar,-0.010371684649249755
2022 Apr,-0.046812169450982724
2022 May,0.006264578994087988
2022 Jun,0.00983679481834199
2022 Jul,-0.09709140375512393
2022 Aug,0.005653261241784543
2022 Sep,0.10992125864528415
2022 Oct,0.061076446789149384
2022 Nov,0.020338465161022307
2022 Dec,-0.026828712585628748
2023 Jan,-0.06771190325089099
2023 Feb,-0.038724848642255144
2023 Mar,0.09066026909556935
2023 Apr,-0.019564201236818797
2023 May,-0.037965203983990864
2023 Jun,0.04023099685989203
2023 Jul,-0.07934555903776712
2023 Aug,-0.005153576290177415
2023 Sep,0.12538915798040245
2023 Oct,0.19823065992727074
2023 Nov,-0.003466463322671445
2023 Dec,-0.0659270157957865
2024 Jan,-0.034543786547083795
2024 Feb,-0.05159244537679705
2024 Mar,-0.05302823664526367
2024 Apr,0.032433409715204906
2024 May,-0.0279741834462086
2024 Jun,0.04177913280018963
2024 Jul,0.03816950255002824
2024 Aug,-0.006153499636231653
2024 Sep,-0.004968861573654137
2024 Oct,0.1056404500962197
2024 Nov,-0.06316848023399206
2024 Dec,-0.05158702451973569
2025 Jan,-0.02401481956850865
2025 Feb,-0.019324328125461594
2025 Mar,-0.025083766953686297
2025 Apr,0.01851934973896779
2025 May,0.006403057997294784
2025 Jun,-0.0028854788106930365
2025 Jul,0.03905421684069617
2025 Aug,-0.007593042486699987
2025 Sep,-0.06244084181883726
2025 Oct,0.0946668446048769
2025 Nov,NA
2025 Dec,NA
2026 Jan,NA
2026 Feb,NA
2026 Mar,NA
2026 Apr,NA
