Date,seasonal_sur_range
2012 Sep,0.10105321376568323
2012 Oct,0.08747684686664152
2012 Nov,-0.004265090909082592
2012 Dec,-0.04002812887028518
2013 Jan,-0.00744614988489403
2013 Feb,-0.030950394140867095
2013 Mar,0.003916099222989911
2013 Apr,-0.0022940364159643265
2013 May,-0.026150802637450024
2013 Jun,0.011107298903882375
2013 Jul,-0.052967820543446724
2013 Aug,-0.039451035357207044
2013 Sep,0.10105321376568323
2013 Oct,0.08747684686664152
2013 Nov,-0.004265090909082592
2013 Dec,-0.04002812887028518
2014 Jan,-0.00744614988489403
2014 Feb,-0.030950394140867095
2014 Mar,0.003916099222989911
2014 Apr,-0.0022940364159643265
2014 May,-0.026150802637450024
2014 Jun,0.011107298903882375
2014 Jul,-0.052967820543446724
2014 Aug,-0.039451035357207044
2014 Sep,0.10105321376568323
2014 Oct,0.08747684686664152
2014 Nov,-0.004265090909082592
2014 Dec,-0.04002812887028518
2015 Jan,-0.00744614988489403
2015 Feb,-0.030950394140867095
2015 Mar,0.003916099222989911
2015 Apr,-0.0022940364159643265
2015 May,-0.026150802637450024
2015 Jun,0.011107298903882375
2015 Jul,-0.052967820543446724
2015 Aug,-0.039451035357207044
2015 Sep,0.10105321376568323
2015 Oct,0.08747684686664152
2015 Nov,-0.004265090909082592
2015 Dec,-0.04002812887028518
2016 Jan,-0.00744614988489403
2016 Feb,-0.030950394140867095
2016 Mar,0.003916099222989911
2016 Apr,-0.0022940364159643265
2016 May,-0.026150802637450024
2016 Jun,0.011107298903882375
2016 Jul,-0.052967820543446724
2016 Aug,-0.039451035357207044
2016 Sep,0.10105321376568323
2016 Oct,0.08747684686664152
2016 Nov,-0.004265090909082592
2016 Dec,-0.04002812887028518
2017 Jan,-0.00744614988489403
2017 Feb,-0.030950394140867095
2017 Mar,0.003916099222989911
2017 Apr,-0.0022940364159643265
2017 May,-0.026150802637450024
2017 Jun,0.011107298903882375
2017 Jul,-0.052967820543446724
2017 Aug,-0.039451035357207044
2017 Sep,0.10105321376568323
2017 Oct,0.08747684686664152
2017 Nov,-0.004265090909082592
2017 Dec,-0.04002812887028518
2018 Jan,-0.00744614988489403
2018 Feb,-0.030950394140867095
2018 Mar,0.003916099222989911
2018 Apr,-0.0022940364159643265
2018 May,-0.026150802637450024
2018 Jun,0.011107298903882375
2018 Jul,-0.052967820543446724
2018 Aug,-0.039451035357207044
2018 Sep,0.10105321376568323
2018 Oct,0.08747684686664152
2018 Nov,-0.004265090909082592
2018 Dec,-0.04002812887028518
2019 Jan,-0.00744614988489403
2019 Feb,-0.030950394140867095
2019 Mar,0.003916099222989911
2019 Apr,-0.0022940364159643265
2019 May,-0.026150802637450024
2019 Jun,0.011107298903882375
2019 Jul,-0.052967820543446724
2019 Aug,-0.039451035357207044
2019 Sep,0.10105321376568323
2019 Oct,0.08747684686664152
2019 Nov,-0.004265090909082592
2019 Dec,-0.04002812887028518
2020 Jan,-0.00744614988489403
2020 Feb,-0.030950394140867095
2020 Mar,0.003916099222989911
2020 Apr,-0.0022940364159643265
2020 May,-0.026150802637450024
2020 Jun,0.011107298903882375
2020 Jul,-0.052967820543446724
2020 Aug,-0.039451035357207044
2020 Sep,0.10105321376568323
2020 Oct,0.08747684686664152
2020 Nov,-0.004265090909082592
2020 Dec,-0.04002812887028518
2021 Jan,-0.00744614988489403
2021 Feb,-0.030950394140867095
2021 Mar,0.003916099222989911
2021 Apr,-0.0022940364159643265
2021 May,-0.026150802637450024
2021 Jun,0.011107298903882375
2021 Jul,-0.052967820543446724
2021 Aug,-0.039451035357207044
2021 Sep,0.10105321376568323
2021 Oct,0.08747684686664152
2021 Nov,-0.004265090909082592
2021 Dec,-0.04002812887028518
2022 Jan,-0.00744614988489403
2022 Feb,-0.030950394140867095
2022 Mar,0.003916099222989911
2022 Apr,-0.0022940364159643265
2022 May,-0.026150802637450024
2022 Jun,0.011107298903882375
2022 Jul,-0.052967820543446724
2022 Aug,-0.039451035357207044
2022 Sep,0.10105321376568323
2022 Oct,0.08747684686664152
2022 Nov,-0.004265090909082592
2022 Dec,-0.04002812887028518
2023 Jan,-0.00744614988489403
2023 Feb,-0.030950394140867095
2023 Mar,0.003916099222989911
2023 Apr,-0.0022940364159643265
2023 May,-0.026150802637450024
2023 Jun,0.011107298903882375
2023 Jul,-0.052967820543446724
2023 Aug,-0.039451035357207044
2023 Sep,0.10105321376568323
2023 Oct,0.08747684686664152
2023 Nov,-0.004265090909082592
2023 Dec,-0.04002812887028518
2024 Jan,-0.00744614988489403
2024 Feb,-0.030950394140867095
2024 Mar,0.003916099222989911
2024 Apr,-0.0022940364159643265
2024 May,-0.026150802637450024
2024 Jun,0.011107298903882375
2024 Jul,-0.052967820543446724
2024 Aug,-0.039451035357207044
2024 Sep,0.10105321376568323
2024 Oct,0.08747684686664152
2024 Nov,-0.004265090909082592
2024 Dec,-0.04002812887028518
2025 Jan,-0.00744614988489403
2025 Feb,-0.030950394140867095
2025 Mar,0.003916099222989911
2025 Apr,-0.0022940364159643265
2025 May,-0.026150802637450024
2025 Jun,0.011107298903882375
2025 Jul,-0.052967820543446724
2025 Aug,-0.039451035357207044
2025 Sep,0.10105321376568323
2025 Oct,0.08747684686664152
2025 Nov,-0.004265090909082592
2025 Dec,-0.04002812887028518
2026 Jan,-0.00744614988489403
2026 Feb,-0.030950394140867095
2026 Mar,0.003916099222989911
2026 Apr,-0.0022940364159643265
